URLLength,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,LetterRatioInURL,NoOfQMarkInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,label
77,23,0,0,67.79661016949152,0.03896103896103896,0.9,0.6883116883116883,3,0,0,0,0.6883116883116883,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,50,0,0,52.27272727272727,0.015873015873015872,0.9,0.6984126984126984,3,3,1,8,0.6984126984126984,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,24,0,9,54.54545454545454,0.0625,0.5,0.75,2,2,1,1,0.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,27,0,0,73.01587301587301,0.037037037037037035,0.9,0.6419753086419753,3,1,0,0,0.6419753086419753,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,10,0,501,64.51612903225806,0.06451612903225806,0.5,0.7419354838709677,5,0,0,0,0.7419354838709677,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,23,0,2,55.319148936170215,0.0392156862745098,0.5,0.7843137254901961,2,2,1,1,0.7843137254901961,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,21,0,0,59.57446808510638,0.04,0.9,0.78,3,1,0,0,0.78,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,23,0,0,69.23076923076923,0.08823529411764706,0.9,0.7941176470588235,3,1,0,0,0.7941176470588235,0,0,55,165,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
40,11,0,39,50.0,0.05,0.85,0.7,3,0,0,0,0.7,0,0,14,269,1,0.08695652173913043,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,50,0,0,52.27272727272727,0.015873015873015872,0.9,0.7619047619047619,3,3,1,8,0.7619047619047619,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,32,0,0,62.295081967213115,0.04878048780487805,0.9,0.8536585365853658,3,1,0,0,0.8536585365853658,0,1,1030,6601,1,0.2222222222222222,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,5,21,0,1
68,42,0,0,49.382716049382715,0.029411764705882353,0.9,0.7058823529411765,3,3,0,0,0.7058823529411765,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,14,0,218,57.14285714285714,0.018404907975460124,0.5,0.4601226993865031,2,1,1,13,0.4601226993865031,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,17,0,0,50.0,0.03125,0.9,0.546875,3,1,0,0,0.546875,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,28,0,0,53.333333333333336,0.05555555555555555,0.9,0.5277777777777778,3,3,0,0,0.5277777777777778,0,0,10,66,1,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,14,0,0,52.94117647058824,0.03278688524590164,0.9,0.8360655737704918,3,0,1,1,0.8360655737704918,0,0,128,25025,1,0.32653061224489793,1,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1,25,1,6,0,0,1
113,24,0,0,54.90196078431373,0.02654867256637168,0.9,0.831858407079646,3,0,1,3,0.831858407079646,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,30,0,0,52.459016393442624,0.023809523809523808,0.9,0.8571428571428571,3,0,1,2,0.8571428571428571,0,0,92,501,1,0.5652173913043478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1
29,17,0,0,66.66666666666666,0.06896551724137931,0.9,0.7931034482758621,3,1,0,0,0.7931034482758621,0,0,14,326,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
98,26,0,15,58.620689655172406,0.030612244897959183,0.5,0.5612244897959183,2,1,1,2,0.5612244897959183,0,0,2514,537,1,0.9473684210526315,1,1,1,2,2,1,0,0,1,1,0,1,0,0,0,0,1,13,3,9,0,0,1
